table_id,result
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,bankerSuper6
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,bankerSuper6
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,banker
25f15cec-4565-4455-a901-25f0708260e5,player
25f15cec-4565-4455-a901-25f0708260e5,player
